Model Name,issueArea,rouge1,rouge2,rougeL,bert_f1,align_score,unieval_coherence,unieval_consistency,unieval_fluency,unieval_relevance,unieval_overall
top_k_75,2.0,0.5428470679782221,0.2694922545144774,0.2394879598664568,0.6450286143355899,0.7058638721704483,0.7423227818909011,0.6094935580313848,0.737214597827182,0.7138416614638126,0.7007181498033201
top_k_75,3.0,0.5220491777692094,0.2671846481869997,0.2452389443044388,0.639149530728658,0.7255214889844258,0.6181985882587995,0.5960568356800262,0.7326427200205796,0.6028298581599285,0.6374320005298334
top_k_75,4.0,0.5697511376615731,0.2849013042627289,0.2543776544411216,0.6371856689453125,0.7188267230987548,0.8049155325246001,0.6222296313930282,0.7194762056867774,0.7797910464697309,0.7316031040185341
top_k_75,5.0,0.5302399726865943,0.256861486438818,0.2338211933115973,0.6463477075099945,0.7191500246524811,0.7074935942821365,0.5870777071537925,0.7774760518015459,0.6561661657323011,0.682053379742444
top_k_75,6.0,0.5944742884869064,0.2799826778434877,0.2569364005170148,0.6576625837220086,0.71689287159178,0.7945756568611242,0.6437997246946036,0.7460235588798715,0.7985617137355016,0.7457401635427752
top_k_75,7.0,0.5440405423699132,0.2727476819281983,0.2444466818104402,0.6341671815940312,0.7263391784259251,0.6395478119113572,0.6183634396416215,0.7450489161039412,0.6214316683254003,0.65609795899558
top_k_75,8.0,0.5645126263786032,0.2806902826755057,0.2492828018740312,0.6504528794599616,0.6845984988022542,0.7074584843952374,0.6163675997452084,0.7191803916529809,0.6789144280792954,0.6804802259681805
top_k_75,9.0,0.5816777145625751,0.291175638168915,0.2572893809462941,0.65562485717237,0.6860734233632684,0.7595050926302879,0.6122440835389975,0.7314903407622871,0.7426613928698997,0.7114752274503681
top_k_75,10.0,0.5567081056099336,0.2693014401713545,0.2388876299163301,0.6407649958575213,0.6822970112164816,0.6410172593769173,0.5968793798644041,0.720857013829847,0.6223437938558811,0.6452743617317623
top_k_75,12.0,0.5942898275510388,0.2859044353882236,0.2508856959443907,0.6451663598418236,0.6599489524960518,0.6758753286188846,0.6166580309611662,0.7072346950232258,0.6692777351533166,0.6672614474391483
top_k_75,13.0,0.4876462958683906,0.2508913450828041,0.2207527328412111,0.630649209022522,0.6909135282039642,0.4928946115181821,0.5867480609153062,0.7528477644556876,0.4462653898995166,0.5696889566971731
top_k_75,14.0,0.5794392523364487,0.3406113537117904,0.3302180685358255,0.6830381751060486,0.7946681976318359,0.7766079317040021,0.655602085904493,0.7188819788137695,0.6671471837551091,0.7045597950443434
top_k_250,1.0,0.5651794653037665,0.2775368885360401,0.249391907473172,0.6533679045163668,0.7082243914787586,0.7196815219504566,0.6230458237256719,0.7246461538152055,0.6925373397775865,0.6899777098172302
top_k_250,2.0,0.5501898665239261,0.2689155022424801,0.2347260699824585,0.6468150675296783,0.697835734155443,0.7421045095927313,0.6005858540202154,0.723285263587074,0.7158138080312568,0.6954473588078194
top_k_250,3.0,0.5451703656961776,0.2740947252973547,0.2483412255875993,0.6395345787207286,0.7094708263874054,0.7792295053309105,0.5725767626087859,0.7177736957512537,0.7387218601293978,0.702075455955087
top_k_250,4.0,0.5531121902718299,0.2740793085670709,0.2505400690722961,0.6448565125465393,0.7091687977313995,0.6868785655593335,0.6184219317665537,0.7505540588778177,0.671959738913475,0.681953573779295
top_k_250,5.0,0.5632749261951633,0.2722807082653806,0.2422006753062999,0.6530649900436402,0.7012618064880372,0.8317669014856875,0.5699840477094895,0.7387018235040784,0.8068798080770809,0.736833145194084
top_k_250,6.0,0.563708159084896,0.2827316596105772,0.2502911714775012,0.6552512447039286,0.7079886992772421,0.7698645096452933,0.6361090616838924,0.7051647365675341,0.7193897528502027,0.7076320151867306
top_k_250,7.0,0.5298216193218126,0.2583837212304465,0.2380858558147331,0.6299728368009839,0.713047227689198,0.7422217765951319,0.6289149758636905,0.744856074701253,0.7157839554354252,0.7079441956488752
top_k_250,8.0,0.5645401655832185,0.2786912788563677,0.2500649927693671,0.6480177861192952,0.6876269704189854,0.7284854007014351,0.6213887654147973,0.7237877898506792,0.7021122747786481,0.6939435576863899
