Model Name,partyWinning,rouge1,rouge2,rougeL,bert_f1,align_score,unieval_coherence,unieval_consistency,unieval_fluency,unieval_relevance,unieval_overall
top_k_10,0.0,0.5607106500696154,0.2742598134973971,0.2509461502929208,0.6539791822433472,0.7038649472718438,0.7364737193837824,0.6236421467931582,0.7390603196366756,0.7148577521815902,0.7035084844988017
top_k_10,1.0,0.5667718219945319,0.2822055812223002,0.2494935342973574,0.6474341484862314,0.7005696726516939,0.7321130798371943,0.611141391659439,0.7281966215020973,0.7113539786202151,0.6957012679047364
top_k_75,0.0,0.5704074686421822,0.2809582202824612,0.2515256772346803,0.6531116080780824,0.698872840963304,0.7582617004774305,0.6067288550943096,0.7254172526144936,0.7354198355799446,0.7064569109415446
top_k_75,1.0,0.5574169933127223,0.276140321013974,0.2470505296140988,0.6455967036771103,0.6960647574612792,0.7030254890202666,0.6148784941993647,0.7294837559189024,0.6761082208962428,0.6808739900086941
top_k_250,0.0,0.5610916822053565,0.2732874805222666,0.2470902054890947,0.6502736347417036,0.6992473937571049,0.7293684565801638,0.6128073000142015,0.7278078188446453,0.7044656269310187,0.6936123005925073
top_k_250,1.0,0.5596588288238864,0.2780101594627103,0.2464641477677618,0.6479555329806368,0.6966251075267792,0.7341159005656691,0.6131086684864214,0.7232534172341856,0.707459880882878,0.6944844667922886
top_k_50,0.0,0.5665902935084377,0.2736312583827668,0.2480615070719564,0.6522713787853718,0.700106192069749,0.750448477443803,0.6138024019269742,0.73594226153596,0.7259715060169752,0.7065411617309282
top_k_50,1.0,0.5591083490128053,0.2782663655268286,0.2463070070288476,0.6467497509969792,0.6986243372232142,0.7281510912950122,0.6130638343350243,0.7310974441241719,0.6998015574299975,0.6930284817960515
top_k_1500,0.0,0.5540206031678276,0.2705581039560703,0.2480618521704432,0.6509374945114056,0.6985567067749798,0.7081228460431338,0.619227912865335,0.7397460361102669,0.6881928840576745,0.6888224197691025
top_k_1500,1.0,0.5533022566819117,0.2754373998229179,0.2457638099268636,0.6472889453592435,0.692537872220429,0.7135445884172241,0.6098943258695642,0.7276433446035103,0.6913579094720191,0.6856100420905794
top_k_2000,0.0,0.5538308138795066,0.2706630984831315,0.2485500748926823,0.652285523712635,0.6993950887893637,0.7209116500789436,0.620157257683388,0.7278188618054928,0.6986120223349626,0.6918749479756968
top_k_2000,1.0,0.559181333829117,0.2765765665862688,0.247193832261108,0.6482037576151566,0.6971124621344285,0.6987320928895924,0.6112527996309479,0.7320367443853147,0.678089559181922,0.6800277990219442
